date,ticker,search_interest
2019-01-06,CMG,51.46537704003056
2019-01-13,CMG,55.05336336251572
2019-01-20,CMG,48.44134902618804
2019-01-27,CMG,47.4448003575882
2019-02-03,CMG,41.84675610962197
2019-02-10,CMG,60.47425586576645
2019-02-17,CMG,55.52492506938265
2019-02-24,CMG,57.36247405504978
2019-03-03,CMG,52.04230166811556
2019-03-10,CMG,64.62263638094144
2019-03-17,CMG,63.33933340755142
2019-03-24,CMG,57.25659125048227
2019-03-31,CMG,54.84649024537074
2019-04-07,CMG,56.11985169564852
2019-04-14,CMG,53.42991773823654
2019-04-21,CMG,58.22691943485166
2019-04-28,CMG,54.103123623280034
2019-05-05,CMG,60.93690332847793
2019-05-12,CMG,54.78705947919679
2019-05-19,CMG,54.244343601732666
2019-05-26,CMG,64.92849929113831
2019-06-02,CMG,50.61020083853691
2019-06-09,CMG,44.75029004867736
2019-06-16,CMG,55.49413025078497
2019-06-23,CMG,39.92731424584422
2019-06-30,CMG,53.0505652569969
2019-07-07,CMG,56.410320851355856
2019-07-14,CMG,49.9963967424821
2019-07-21,CMG,48.70112513147678
2019-07-28,CMG,35.43950479016239
2019-08-04,CMG,50.21403673700259
2019-08-11,CMG,48.45323742963042
2019-08-18,CMG,38.30303218382664
2019-08-25,CMG,56.1509384981084
2019-09-01,CMG,36.7520318684094
2019-09-08,CMG,33.54060962447143
2019-09-15,CMG,32.37352343905269
2019-09-22,CMG,43.12829090451795
2019-09-29,CMG,44.84555650809815
2019-10-06,CMG,45.425843465607855
2019-10-13,CMG,40.83416913792263
2019-10-20,CMG,38.176415328376414
2019-10-27,CMG,48.416457550564935
2019-11-03,CMG,38.39083947540364
2019-11-10,CMG,37.03708783697175
2019-11-17,CMG,53.31980801959048
2019-11-24,CMG,46.680447782930734
2019-12-01,CMG,49.22322139849664
2019-12-08,CMG,50.99725885151687
2019-12-15,CMG,44.71237824966381
2019-12-22,CMG,45.88829916969041
2019-12-29,CMG,53.89919665635129
2020-01-05,CMG,47.33709265673375
2020-01-12,CMG,54.04041759071061
2020-01-19,CMG,52.457767996731874
2020-01-26,CMG,46.7712100012923
2020-02-02,CMG,60.63612998994703
2020-02-09,CMG,47.94834627503542
2020-02-16,CMG,57.86276193310498
2020-02-23,CMG,57.56999405993781
2020-03-01,CMG,65.38353823091283
2020-03-08,CMG,51.5858968642048
2020-03-15,CMG,55.460949732101895
2020-03-22,CMG,58.42569527056744
2020-03-29,CMG,60.30675337368295
2020-04-05,CMG,64.51074286242655
2020-04-12,CMG,61.12826247093318
2020-04-19,CMG,59.25669803266813
2020-04-26,CMG,65.01015668060312
2020-05-03,CMG,71.04002946149352
2020-05-10,CMG,49.850720677514246
2020-05-17,CMG,57.3736064654732
2020-05-24,CMG,61.3028206418408
2020-05-31,CMG,56.51897390934754
2020-06-07,CMG,63.80561197865612
2020-06-14,CMG,52.33180460866949
2020-06-21,CMG,47.35050323838375
2020-06-28,CMG,57.72735782133646
2020-07-05,CMG,34.92260204015649
